transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
35,0,2171,8/20/2017,FALSE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,38647
40,0,2448,11/28/2017,TRUE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,38647
55,0,3140,9/18/2017,FALSE,Approved,Norco Bicycles,Standard,low,medium,363.01,$290.41,38482
61,0,1839,2/24/2017,FALSE,Approved,OHM Cycles,Road,high,large,12.01,$7.21,34244
64,0,2000,7/8/2017,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,39031
83,0,3398,4/1/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,37626
89,0,2682,4/4/2017,TRUE,Approved,OHM Cycles,Road,high,large,12.01,$7.21,40303
100,0,119,7/31/2017,FALSE,Approved,Solex,Standard,medium,medium,478.16,$298.72,36146
111,0,3320,6/11/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93,42172
120,0,678,6/16/2017,FALSE,Approved,Trek Bicycles,Standard,high,medium,495.72,$297.43,42105
137,0,431,9/23/2017,FALSE,Approved,,,,,1942.61,,
160,0,3300,8/27/2017,FALSE,Approved,,,,,1656.86,,
192,0,1614,7/15/2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,230.91,$173.18,39031
201,0,3208,9/5/2017,TRUE,Approved,Trek Bicycles,Road,medium,medium,533.51,$400.13,41064
272,0,2149,4/30/2017,TRUE,Approved,Trek Bicycles,Standard,high,medium,358.39,$215.03,38002
293,0,314,11/19/2017,FALSE,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,39298
367,0,1614,3/10/2017,FALSE,Approved,,,,,850.89,,
376,0,1808,2/9/2017,FALSE,Approved,Solex,Standard,medium,medium,478.16,$298.72,41245
400,0,552,7/24/2017,TRUE,Approved,Solex,Standard,medium,medium,71.49,$53.62,37659
406,0,1595,4/17/2017,FALSE,Approved,Trek Bicycles,Standard,high,medium,358.39,$215.03,38002
407,0,2559,6/14/2017,TRUE,Approved,,,,,710.59,,
447,0,820,6/23/2017,FALSE,Approved,Solex,Standard,medium,medium,71.49,$53.62,41245
496,0,661,11/8/2017,FALSE,Approved,Norco Bicycles,Standard,low,medium,363.01,$290.41,38482
513,0,1052,11/29/2017,FALSE,Approved,Trek Bicycles,Road,medium,medium,533.51,$400.13,41064
544,0,2734,5/19/2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,230.91,$173.18,39031
551,0,3382,10/15/2017,TRUE,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,37659
558,0,3481,2/22/2017,FALSE,Approved,Trek Bicycles,Standard,high,medium,495.72,$297.43,42105
